Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
12.471517687500000,72,'236' (0xEC),'134' (0x86),Read,ACK
12.471613187499999,72,'236' (0xEC),'156' (0x9C),Read,ACK
12.471708749999999,72,'236' (0xEC),'176' (0xB0),Read,NAK
12.471948875000001,73,'236' (0xEC),'250' (0xFA),Write,ACK
12.472153812500000,74,'236' (0xEC),'134' (0x86),Read,ACK
12.472249187499999,74,'236' (0xEC),'156' (0x9C),Read,ACK
12.472344750000000,74,'236' (0xEC),'176' (0xB0),Read,NAK
12.472556375000000,75,'236' (0xEC),'247' (0xF7),Write,ACK
12.472761374999999,76,'236' (0xEC),n (0x6E),Read,ACK
12.472856937500000,76,'236' (0xEC),'204' (0xCC),Read,ACK
12.472952500000000,76,'236' (0xEC),'176' (0xB0),Read,NAK
12.473260124999999,77,'236' (0xEC),'250' (0xFA),Write,ACK
12.473465062500001,78,'236' (0xEC),'134' (0x86),Read,ACK
12.473560624999999,78,'236' (0xEC),'156' (0x9C),Read,ACK
12.473656187500000,78,'236' (0xEC),'176' (0xB0),Read,NAK
12.473868250000001,79,'236' (0xEC),'247' (0xF7),Write,ACK
12.474073250000000,80,'236' (0xEC),n (0x6E),Read,ACK
12.474168750000000,80,'236' (0xEC),'204' (0xCC),Read,ACK
12.474264312500001,80,'236' (0xEC),'176' (0xB0),Read,NAK
12.474605875000000,81,'236' (0xEC),'250' (0xFA),Write,ACK
12.474810812499999,82,'236' (0xEC),'134' (0x86),Read,ACK
12.474906187500000,82,'236' (0xEC),'156' (0x9C),Read,ACK
12.475001750000001,82,'236' (0xEC),'176' (0xB0),Read,NAK
12.475213374999999,83,'236' (0xEC),'253' (0xFD),Write,ACK
12.475418375000000,84,'236' (0xEC),] (0x5D),Read,ACK
12.475513937500001,84,'236' (0xEC),'18' (0x12),Read,NAK
12.575778562500000,85,2 (0x32),' (0x27),Write,ACK
12.575983500000000,86,2 (0x32),'255' (0xFF),Read,NAK
12.576200562500000,87,2 (0x32),'168' (0xA8),Write,ACK
12.576405562500000,88,2 (0x32),p (0x70),Read,ACK
12.576501062500000,88,2 (0x32),'224' (0xE0),Read,ACK
12.576596625000001,88,2 (0x32),'240' (0xF0),Read,ACK
12.576692124999999,88,2 (0x32),'214' (0xD6),Read,ACK
12.576787687500000,88,2 (0x32),P (0x50),Read,ACK
12.576883250000000,88,2 (0x32),'219' (0xDB),Read,NAK
12.577114812500000,89,2 (0x32),' (0x27),Write,ACK
12.577319749999999,90,2 (0x32),'0' (0x00),Read,NAK
12.578523437499999,91,2 (0x32),' (0x27),Write,ACK
12.578728437500001,92,2 (0x32),'0' (0x00),Read,NAK
12.579933375000000,93,2 (0x32),' (0x27),Write,ACK
12.580138312500001,94,2 (0x32),'0' (0x00),Read,NAK
12.581342250000001,95,2 (0x32),' (0x27),Write,ACK
12.581547250000000,96,2 (0x32),'0' (0x00),Read,NAK
12.582750187500000,97,2 (0x32),' (0x27),Write,ACK
12.582955187500000,98,2 (0x32),'0' (0x00),Read,NAK
12.584158125000000,99,2 (0x32),' (0x27),Write,ACK
12.584363062500000,100,2 (0x32),'0' (0x00),Read,NAK
12.585566000000000,101,2 (0x32),' (0x27),Write,ACK
12.585770999999999,102,2 (0x32),'0' (0x00),Read,NAK
12.586973937500000,103,2 (0x32),' (0x27),Write,ACK
12.587178937499999,104,2 (0x32),'0' (0x00),Read,NAK
12.588381875000000,105,2 (0x32),' (0x27),Write,ACK
12.588586875000001,106,2 (0x32),'0' (0x00),Read,NAK
12.589789812499999,107,2 (0x32),' (0x27),Write,ACK
12.589994750000001,108,2 (0x32),'0' (0x00),Read,NAK
12.591197749999999,109,2 (0x32),' (0x27),Write,ACK
12.591402687500000,110,2 (0x32),'0' (0x00),Read,NAK
12.592605624999999,111,2 (0x32),' (0x27),Write,ACK
12.592810625000000,112,2 (0x32),'0' (0x00),Read,NAK
12.594013562500001,113,2 (0x32),' (0x27),Write,ACK
12.594218562500000,114,2 (0x32),'0' (0x00),Read,NAK
12.595421500000000,115,2 (0x32),' (0x27),Write,ACK
12.595626437500000,116,2 (0x32),'0' (0x00),Read,NAK
12.596829437500000,117,2 (0x32),' (0x27),Write,ACK
12.597034375000000,118,2 (0x32),'0' (0x00),Read,NAK
12.598237312500000,119,2 (0x32),' (0x27),Write,ACK
12.598442312500000,120,2 (0x32),'15' (0x0F),Read,NAK
12.598653937500000,121,2 (0x32),'140' (0x8C),Write,ACK
12.598858937499999,122,2 (0x32),'0' (0x00),Read,ACK
12.598954375000000,122,2 (0x32),'6' (0x06),Read,NAK
22.970899374999998,123,'236' (0xEC),'250' (0xFA),Write,ACK
22.971122937499999,124,'236' (0xEC),'134' (0x86),Read,ACK
22.971218937500002,124,'236' (0xEC),'135' (0x87),Read,ACK
22.971314499999998,124,'236' (0xEC),' ' (0x20),Read,NAK
22.971546499999999,125,'236' (0xEC),'250' (0xFA),Write,ACK
22.971751437500000,126,'236' (0xEC),'134' (0x86),Read,ACK
22.971847062500000,126,'236' (0xEC),'135' (0x87),Read,ACK
22.971942625000001,126,'236' (0xEC),' ' (0x20),Read,NAK
22.972154249999999,127,'236' (0xEC),'247' (0xF7),Write,ACK
22.972359250000000,128,'236' (0xEC),n (0x6E),Read,ACK
22.972454625000001,128,'236' (0xEC),'200' (0xC8),Read,ACK
22.972550187500001,128,'236' (0xEC),'160' (0xA0),Read,NAK
22.972799312500001,129,'236' (0xEC),'250' (0xFA),Write,ACK
22.973004312499999,130,'236' (0xEC),'134' (0x86),Read,ACK
22.973099812499999,130,'236' (0xEC),'135' (0x87),Read,ACK
22.973195375000000,130,'236' (0xEC),' ' (0x20),Read,NAK
22.973407000000002,131,'236' (0xEC),'247' (0xF7),Write,ACK
22.973611937499999,132,'236' (0xEC),n (0x6E),Read,ACK
22.973707500000000,132,'236' (0xEC),'200' (0xC8),Read,ACK
22.973803062500000,132,'236' (0xEC),'160' (0xA0),Read,NAK
22.974094500000000,133,'236' (0xEC),'250' (0xFA),Write,ACK
22.974299500000001,134,'236' (0xEC),'134' (0x86),Read,ACK
22.974394937500001,134,'236' (0xEC),'135' (0x87),Read,ACK
22.974490500000002,134,'236' (0xEC),' ' (0x20),Read,NAK
22.974702125000000,135,'236' (0xEC),'253' (0xFD),Write,ACK
22.974907125000001,136,'236' (0xEC),\ (0x5C),Read,ACK
22.975002562499999,136,'236' (0xEC),'168' (0xA8),Read,NAK
23.075258812500000,137,2 (0x32),' (0x27),Write,ACK
23.075464062500000,138,2 (0x32),'255' (0xFF),Read,NAK
23.075675687499999,139,2 (0x32),'168' (0xA8),Write,ACK
23.075880687500000,140,2 (0x32),'192' (0xC0),Read,ACK
23.075976125000000,140,2 (0x32),'226' (0xE2),Read,ACK
23.076071687500001,140,2 (0x32),'240' (0xF0),Read,ACK
23.076167250000001,140,2 (0x32),'215' (0xD7),Read,ACK
